RSSI,NSINR,NRSRP,NRSRQ,BSLatitude,BSLongitude,UELatitude,UELongitude,UE_location,BS_location,UE_BS_pair
-65.8,17.435,-76.03999999999999,-10.23,41.864758,12.469067,41.866322,12.468737,41.866322_12.468737,41.864758_12.469067,41.866322_12.468737_41.864758_12.469067
-63.83,22.98,-71.76,-7.92,41.864758,12.469067,41.866327,12.468737,41.866327_12.468737,41.864758_12.469067,41.866327_12.468737_41.864758_12.469067
-62.55,20.96,-71.305,-8.75,41.864758,12.469067,41.866324,12.468733,41.866324_12.468733,41.864758_12.469067,41.866324_12.468733_41.864758_12.469067
-63.16,23.205,-70.955,-7.79,41.864758,12.469067,41.866318,12.468726,41.866318_12.468726,41.864758_12.469067,41.866318_12.468726_41.864758_12.469067
-63.56,21.86,-71.72,-8.15,41.864758,12.469067,41.866315,12.468722,41.866315_12.468722,41.864758_12.469067,41.866315_12.468722_41.864758_12.469067
-63.72,21.955,-71.725,-7.995000000000001,41.864758,12.469067,41.866302,12.468712,41.866302_12.468712,41.864758_12.469067,41.866302_12.468712_41.864758_12.469067
-62.8,23.24,-70.69,-7.87,41.864758,12.469067,41.866298,12.468707,41.866298_12.468707,41.864758_12.469067,41.866298_12.468707_41.864758_12.469067
-62.83,22.755000000000003,-70.67,-7.825,41.864758,12.469067,41.8663,12.468711,41.8663_12.468711,41.864758_12.469067,41.8663_12.468711_41.864758_12.469067
-64.89,19.97,-72.725,-7.827500000000001,41.864758,12.469067,41.866297,12.468709,41.866297_12.468709,41.864758_12.469067,41.866297_12.468709_41.864758_12.469067
-61.21,22.515,-70.24000000000001,-9.025,41.864758,12.469067,41.866297,12.468708,41.866297_12.468708,41.864758_12.469067,41.866297_12.468708_41.864758_12.469067
-63.41,22.095,-71.045,-7.625,41.864758,12.469067,41.866295,12.468707,41.866295_12.468707,41.864758_12.469067,41.866295_12.468707_41.864758_12.469067
-62.95,23.815,-70.575,-7.615,41.864758,12.469067,41.866291,12.468702,41.866291_12.468702,41.864758_12.469067,41.866291_12.468702_41.864758_12.469067
-65.1,19.64,-72.74000000000001,-7.64,41.864758,12.469067,41.866284,12.468702,41.866284_12.468702,41.864758_12.469067,41.866284_12.468702_41.864758_12.469067
-62.75,22.185,-70.375,-7.615,41.864758,12.469067,41.86626,12.468692,41.86626_12.468692,41.864758_12.469067,41.86626_12.468692_41.864758_12.469067
-61.35,24.19,-68.83,-7.47,41.864758,12.469067,41.866215,12.468665,41.866215_12.468665,41.864758_12.469067,41.866215_12.468665_41.864758_12.469067
-65.67,18.505000000000003,-73.33,-7.65,41.864758,12.469067,41.866207,12.468663,41.866207_12.468663,41.864758_12.469067,41.866207_12.468663_41.864758_12.469067
